date,price
2011/9/1,13.6
2011/9/2,13.55
2011/9/5,13.3
2011/9/6,13.25
2011/9/7,13.45
2011/9/8,13.4
2011/9/9,13.55
2011/9/13,13.2
2011/9/14,13.2
2011/9/15,13.6
2011/9/16,13.95
2011/9/19,13.95
2011/9/20,14.1
2011/9/21,14.05
2011/9/22,13.85
2011/9/23,13.5
2011/9/26,13.25
2011/9/27,13.75
2011/9/28,13.9
2011/9/29,13.95
2011/9/30,13.95
2011/10/3,13.95
2011/10/4,14.1
2011/10/5,14.2
2011/10/6,14
2011/10/7,14.3
2011/10/11,14.4
2011/10/12,14.5
2011/10/13,14.5
2011/10/14,14.4
2011/10/17,14.45
2011/10/18,14.3
2011/10/19,14.45
2011/10/20,14.4
2011/10/21,14.5
2011/10/24,14.55
2011/10/25,14.45
2011/10/26,14.3
2011/10/27,14.05
2011/10/28,13.55
2011/10/31,13.5
2011/11/1,13.75
2011/11/2,13.55
2011/11/3,13.35
2011/11/4,13.45
2011/11/7,13.45
2011/11/8,13.65
2011/11/9,13.45
2011/11/10,12.8
2011/11/11,12.9
2011/11/14,13.15
2011/11/15,12.8
2011/11/16,12.6
2011/11/17,12.65
2011/11/18,12.65
2011/11/21,11.85
2011/11/22,11.7
2011/11/23,11
2011/11/24,11.2
2011/11/25,11.2
2011/11/28,11.35
2011/11/29,11.75
2011/11/30,11.3
2011/12/1,11.8
2011/12/2,11.8
2011/12/5,11.95
2011/12/6,11.6
2011/12/7,11.8
2011/12/8,12.2
2011/12/9,12.5
2011/12/12,12.75
2011/12/13,12.75
2011/12/14,12.75
2011/12/15,12.65
2011/12/16,12.65
2011/12/19,12.35
2011/12/20,12.55
2011/12/21,12.9
2011/12/22,12.85
2011/12/23,13
2011/12/26,12.95
2011/12/27,12.95
2011/12/28,12.95
2011/12/29,12.9
2011/12/30,12.9
2012/1/2,12.75
2012/1/3,12.85
2012/1/4,12.9
2012/1/5,12.95
2012/1/6,12.9
2012/1/9,12.9
2012/1/10,12.9
2012/1/11,12.75
2012/1/12,12.6
2012/1/13,12.5
2012/1/16,12.5
2012/1/17,12.55
2012/1/18,12.5
2012/1/30,12.7
2012/1/31,12.55
2012/2/1,13.05
2012/2/2,13.15
2012/2/3,13.2
2012/2/4,12.95
2012/2/6,12.6
2012/2/7,12.6
2012/2/8,12.75
2012/2/9,12.95
2012/2/10,12.95
2012/2/13,12.85
2012/2/14,12.5
2012/2/15,12.6
2012/2/16,13.45
2012/2/17,13.95
2012/2/20,13.85
2012/2/21,13.75
2012/2/22,13.95
2012/2/23,13.75
2012/2/24,13.75
2012/2/29,13.7
2012/3/1,13.9
2012/3/2,14.55
2012/3/3,15.55
2012/3/5,15.95
2012/3/6,15.2
2012/3/7,15
2012/3/8,14.95
2012/3/9,15.7
2012/3/12,15.05
2012/3/13,15.2
2012/3/14,15.25
2012/3/15,15.15
2012/3/16,14.75
2012/3/19,14.8
2012/3/20,14.85
2012/3/21,14.9
2012/3/22,14.95
2012/3/23,15.05
2012/3/26,15.25
2012/3/27,15.1
2012/3/28,15
2012/3/29,14.4
2012/3/30,14.45
2012/4/2,14.55
2012/4/3,14.3
2012/4/5,14.25
2012/4/6,14.5
2012/4/9,14.25
2012/4/10,14
2012/4/11,14
2012/4/12,13.95
2012/4/13,14.1
2012/4/16,14
2012/4/17,13.65
2012/4/18,13.5
2012/4/19,13.25
2012/4/20,12.7
2012/4/23,12.5
2012/4/24,12.75
2012/4/25,13.15
2012/4/26,13.15
2012/4/27,13.05
2012/4/30,12.85
2012/5/2,13.5
2012/5/3,13.25
2012/5/4,13.4
2012/5/7,13.15
2012/5/8,13.3
2012/5/9,13.25
2012/5/10,13.35
2012/5/11,13.3
2012/5/14,13.1
2012/5/15,13
2012/5/16,13.9
2012/5/17,13.85
2012/5/18,13.6
2012/5/21,14
2012/5/22,14.05
2012/5/23,14.1
2012/5/24,13.9
2012/5/25,13.85
2012/5/28,14
2012/5/29,14.2
2012/5/30,14.15
2012/5/31,14.25
2012/6/1,14.05
2012/6/4,13.75
2012/6/5,14.05
2012/6/6,14.6
2012/6/7,14.55
2012/6/8,14.45
2012/6/11,14.6
2012/6/12,14.65
2012/6/13,14.8
2012/6/14,14.9
2012/6/15,15.9
2012/6/18,15.5
2012/6/19,15.45
2012/6/20,15.5
2012/6/21,15.6
2012/6/22,15.55
2012/6/25,15.55
2012/6/26,15.65
2012/6/27,15.65
2012/6/28,15.65
2012/6/29,15.6
2012/7/2,15.65
2012/7/3,15.75
2012/7/4,16.15
2012/7/5,16
2012/7/6,15.9
2012/7/9,16.2
2012/7/10,15.7
2012/7/11,15.75
2012/7/12,15.8
2012/7/13,15.3
2012/7/16,14.75
2012/7/17,14.5
